Name,Num Worth in Billions,Age,Gender,Source,Country of Citizenship
Philip & Cristina Green,$5.60 ,64,Couple,fashion retail,United Kingdom
Vinod & Anil Rai Gupta,$2.50 ,71,Couple,electrical equipment,India
Tom & Judy Love,$5 ,78,Couple,retail & gas stations,United States
Dominika & Sebastian Kulczyk,$3.40 ,-,Couple,diversified,Poland
Gianluigi & Rafaela Aponte,$9.50 ,-,Couple,shipping,Switzerland
Stewart and Lynda Resnick,$4 ,-,Couple,"agriculture, water",United States
Andrew & Peggy Cherng,$2.90 ,-,Couple,restaurants,United States
Alexandra Andresen,$1.20 ,20,Female,investments,Norway
Katharina Andresen,$1.20 ,21,Female,investments,Norway
Eva Maria Braun-Luedicke,$1.40 ,29,Female,medical technology,Germany
Friederike Braun-Luedicke,$1.40 ,32,Female,medical technologies,Germany
Tatiana Casiraghi,$2.40 ,32,Female,beer,Monaco
Caroline Hagen Kjos,$2.50 ,32,Female,Orkla,Norway
Yang Huiyan,$7 ,34,Female,real estate,China
Johanna Braun,$1.20 ,36,Female,medical technology,Germany
Julia Oetker,$2.20 ,37,Female,consumer goods,Germany
Anna Maria Braun,$1.20 ,37,Female,medical technology,Germany
Yvonne Bauer,$2.80 ,39,Female,media,Germany
Charlotte Soderstrom,$2.30 ,39,Female,H&M,Sweden
Rahel Blocher,$4.30 ,40,Female,chemicals,Switzerland
Miriam Baumann-Blocher,$1.50 ,41,Female,chemicals,Switzerland
Ana Lucia de Mattos Barretto Villela,$1.50 ,42,Female,banking,Brazil
Lee Seo-Hyun,$1.80 ,42,Female,computer services/tourism,South Korea
Isabel dos Santos,$3.30 ,43,Female,investments,Angola
Fatma Yazici,$1 ,43,Female,Diversified,Turkey
Jane Lauder,$1.60 ,43,Female,cosmetics,United States
Lee Boo-Jin,$1.90 ,45,Female,computer services/tourism,South Korea
Amy Wyss,$1.80 ,45,Female,medical equipment,United States
Cheng Xue,$1.10 ,46,Female,soy sauce,China
Zhou Qunfei,$6.70 ,46,Female,smartphone glass covers,Hong Kong
Chu Lam Yiu,$1.80 ,46,Female,flavorings,Hong Kong
Aerin Lauder Zinterhofer,$1.60 ,46,Female,cosmetics,United States
Jane Yan,$1 ,47,Female,software,China
Magdalena Martullo-Blocher,$4.20 ,47,Female,chemicals,Switzerland
Milane Frantz,$5.20 ,47,Female,pipelines,United States
Sheryl Sandberg,$1.40 ,47,Female,Facebook,United States
Chen Jinxia,$1.80 ,48,Female,investments,China
Sandra Ortega Mera,$7.10 ,48,Female,Zara,Spain
Dona Bertarelli,$4.50 ,48,Female,biotech,Switzerland
Denise Coates,$3.90 ,48,Female,online gambling,United Kingdom
Wang Laichun,$1.60 ,49,Female,electronics components,China
Fan Zhaoxia,$1.20 ,49,Female,photovoltaic equipment,China
Emanuella Barilla,$1.50 ,49,Female,Barilla pasta,Italy
Dinara Kulibaeva,$2.40 ,49,Female,banking,Kazakhstan
Filiz Sahenk,$1.60 ,49,Female,"bank, media",Turkey
He Qiaonv & family,$2.10 ,50,Female,landscape architecture,China
Maggie Magerko,$1.80 ,50,Female,building materials,United States
Zhang Xin,$3.50 ,51,Female,real estate,China
Li Tan,$1.10 ,51,Female,pharmaceuticals,China
Ilona Herlin,$1.30 ,51,Female,"elevators, escalators",Finland
Matthias Reimann-Andersen,$4.30 ,51,Female,consumer goods,Germany
Wu Yajun,$4.40 ,52,Female,real estate,China
Zhu Chongyun,$1.20 ,52,Female,apparel retailer,China
Zhai Meiqin,$1.10 ,52,Female,conglomerate,Hong Kong
Laurene Powell Jobs,$17.50 ,52,Female,"Apple, Disney",United States
Dannine Avara,$5.20 ,52,Female,pipelines,United States
Anne Beaufour,$1.60 ,53,Female,pharmaceuticals,France
Maria Asuncion Aramburuzabala,$5.50 ,53,Female,"beer, investments",Mexico
Alexandra Daitch,$1.80 ,53,Female,Cargill,United States
Heloise Waislitz,$1.80 ,54,Female,packaging,Australia
Susanne Klatten,$19.90 ,54,Female,"BMW, pharmaceuticals",Germany
Pansy Ho,$4.10 ,54,Female,casinos,Hong Kong
Margarita Louis-Dreyfus,$8.80 ,54,Female,commodities,Switzerland
Abigail Johnson,$13.10 ,54,Female,money management,United States
Tamara Gustavson,$4.70 ,54,Female,self storage,United States
Gwendolyn Sontheim Meyer,$4.10 ,54,Female,Cargill,United States
Jean (Gigi) Pritzker,$2.40 ,54,Female,"hotels, investments",United States
Angela Leong,$3.50 ,55,Female,casinos,Hong Kong
Randa Williams,$5.20 ,55,Female,pipelines,United States
Nicola Leibinger-Kammueller,$1.20 ,56,Female,inherited,Germany
Susanne Veltins,$1.10 ,56,Female,beer,Germany
Lucy Stitzer,$1.80 ,56,Female,Cargill,United States
Nancy Lerner,$1 ,56,Female,finance,United States
Vivien Chen,$5.40 ,57,Female,real estate,Hong Kong
Winnie Johnson-Marquart,$3.70 ,57,Female,cleaning products,United States
Penny Pritzker,$2.40 ,57,Female,"hotels, investments",United States
Alexandra Schorghuber,$3.20 ,58,Female,real estate,Germany
Pollyanna Chu,$3.80 ,58,Female,financial services,Hong Kong
Cui Lijie,$1.70 ,58,Female,gambling,Hong Kong
Karen Pritzker,$4.30 ,58,Female,"hotels, investments",United States
Cheung Yan,$1.10 ,59,Female,paper,China
Hanni Toosbuy Kasprzak,$2.80 ,59,Female,shoes,Denmark
Leena Tewari,$1.60 ,59,Female,pharmaceuticals,India
Shari Arison,$4.30 ,59,Female,Carnival Cruises,Israel
Eva Maria Bucher-Haefner,$2.60 ,59,Female,Computer Associates,Switzerland
Helen Johnson-Leipold,$3.70 ,59,Female,cleaning products,United States
Carol Jenkins Barnett,$1.70 ,59,Female,Publix supermarkets,United States
Andrea Reimann-Ciardelli,$1 ,59,Female,consumer goods,United States
Ana Maria Marcondes Penido Sant'Anna,$1.30 ,60,Female,toll roads,Brazil
Lee Hwa-Kyung,$1.10 ,60,Female,snack foods,South Korea
Maria Del Pino y Calvo-Sotelo,$1.20 ,60,Female,construction,Spain
Pat Stryker,$2.50 ,60,Female,medical equipment,United States
Katherine Tanner,$1.80 ,60,Female,Cargill,United States
Bernardo Matte,$2.10 ,61,Female,paper,Chile
Sylvia Stroeher,$1.80 ,61,Female,cosmetics,Germany
Gudrun Heine,$1.80 ,61,Female,medical devices,Germany
Hedda Brahm Droege,$1.80 ,61,Female,Consulting,Germany
Maja Oeri,$2.10 ,61,Female,Roche Holding,Switzerland
Gina Rinehart,$10.70 ,62,Female,mining,Australia
Regina de Camargo Pires Oliveira Dias,$2.50 ,62,Female,construction,Brazil
Patricia Angelini Rossi,$1 ,62,Female,"forestry, mining",Chile
Daniela Herz,$2.80 ,62,Female,coffee,Germany
Charlene de Carvalho-Heineken,$13.30 ,62,Female,Heineken,Netherlands
Alicia Koplowitz,$2.30 ,62,Female,"construction, investments",Spain
Ronda Stryker,$4 ,62,Female,medical equipment,United States
Oprah Winfrey,$2.80 ,62,Female,TV shows,United States
Linda Pritzker,$1.80 ,62,Female,"hotels, investments",United States
Sarah Chaney,$1.80 ,62,Female,Cargill,United States
Kiran Mazumdar-Shaw,$1.80 ,63,Female,biotechnology,India
Marianne Liebmann,$3.70 ,63,Female,Cargill,United States
Kirsten Rausing,$6 ,64,Female,packaging,Sweden
Anita Zucker,$2.60 ,64,Female,chemicals,United States
Martha MacMillan,$1.20 ,64,Female,Cargill,United States
Renata de Camargo Nascimento,$2.60 ,65,Female,construction,Brazil
Carrie Perrodo,$6 ,65,Female,oil,France
Johannes Karcher,$1.50 ,65,Female,vacuums/cleaning products,Germany
Smita Crishna-Godrej,$2.50 ,65,Female,diversified,India
Folorunsho Alakija,$1.80 ,65,Female,oil,Nigeria
Nancy Walton Laurie,$4.40 ,65,Female,Wal-Mart,United States
Denise York,$2.40 ,65,Female,San Francisco 49ers,United States
Jennifer Pritzker,$1.80 ,65,Female,"hotels, investments",United States
Rossana Camargo de Arruda Botelho,$2.50 ,66,Female,construction,Brazil
Savitri Jindal,$5.20 ,66,Female,steel,India
Alice Walton,$34.90 ,66,Female,Wal-Mart,United States
Blair Parry-Okeden,$10.70 ,66,Female,media,United States
Mary Alice Dorrance Malone,$3.70 ,66,Female,Campbell Soup,United States
Lottie Tham,$3.50 ,67,Female,H&M,Sweden
Ann Walton Kroenke,$6.10 ,67,Female,Wal-Mart,United States
Christy Walton,$5.50 ,67,Female,Wal-Mart,United States
Bergit Douglas,$2.20 ,69,Female,consumer goods,Germany
Helena Revoredo,$2.20 ,69,Female,private security,Spain
Diane Hendricks,$4.10 ,69,Female,roofing,United States
Hong Ra-Hee,$1.50 ,71,Female,Samsung,South Korea
Madeleine Olsson Ericksson,$2.10 ,71,Female,diversified,Sweden
Deniz Sahenk,$1 ,71,Female,"bank, media",Turkey
Maritsa Lazari,$1.90 ,71,Female,real estate,United Kingdom
Katharine Rayner,$7.10 ,71,Female,media,United States
Catherine Lozick,$1.60 ,71,Female,valve manufacturing,United States
Susan Alfond,$1.20 ,71,Female,shoes,United States
Elisabeth Badinter & family,$1.60 ,72,Female,advertising,France
Gail Miller,$1.70 ,72,Female,"basketball, car dealers",United States
Iris Fontbona,$10.50 ,73,Female,mining,Chile
Chen Baozhen,$1.50 ,73,Female,internet,China
Massimiliana Landini Aleotti,$10.40 ,73,Female,pharmaceuticals,Italy
Lee Myung-Hee,$1.20 ,73,Female,retail,South Korea
Judy Faulkner,$2.20 ,73,Female,health IT,United States
Charlotte Colket Weber,$1.70 ,73,Female,Campbell Soup,United States
Marie-Jeanne Meyer,$1.10 ,74,Female,commodities,France
Friede Springer,$3.60 ,74,Female,publishing,Germany
Margaretta Taylor,$7.10 ,74,Female,media,United States
Elaine Wynn,$1.90 ,74,Female,"casinos, hotels",United States
Heidi Horten,$2.80 ,75,Female,retail,Austria
Maria-Elisabeth Schaeffler,$5 ,75,Female,auto parts,Germany
Elisabeth Mohn,$3.50 ,75,Female,media,Germany
Yoshiko Mori,$2.80 ,75,Female,real estate,Japan
Suna Kirac,$2 ,75,Female,diversified,Turkey
Dagmar Dolby,$3.50 ,75,Female,Dolby Laboratories,United States
Monique Roosmale Nepveu,$1.10 ,76,Female,commodities,France
